from_kp_id,to_kp_id,relation_type,weight
kp-001,kp-003,PREREQ_TO,0.9
kp-001,kp-004,PREREQ_TO,0.85
kp-001,kp-012,PREREQ_TO,0.8
kp-001,kp-021,PREREQ_TO,0.75
kp-002,kp-003,PREREQ_TO,0.9
kp-005,kp-006,PREREQ_TO,0.85
kp-005,kp-009,PREREQ_TO,0.8
kp-006,kp-007,PREREQ_TO,0.7
kp-007,kp-008,RELATED_TO,0.65
kp-009,kp-010,RELATED_TO,0.6
kp-010,kp-038,PREREQ_TO,0.9
kp-010,kp-039,PREREQ_TO,0.85
kp-011,kp-038,RELATED_TO,0.7
kp-012,kp-013,PREREQ_TO,0.9
kp-012,kp-014,PREREQ_TO,0.9
kp-013,kp-015,PREREQ_TO,0.88
kp-013,kp-016,PREREQ_TO,0.85
kp-014,kp-015,PREREQ_TO,0.88
kp-014,kp-017,RELATED_TO,0.75
kp-015,kp-016,RELATED_TO,0.82
kp-015,kp-017,RELATED_TO,0.7
kp-018,kp-019,PREREQ_TO,0.8
kp-018,kp-020,PREREQ_TO,0.85
kp-019,kp-020,RELATED_TO,0.88
kp-020,kp-046,PREREQ_TO,0.85
kp-021,kp-022,PREREQ_TO,0.85
kp-021,kp-023,PREREQ_TO,0.8
kp-022,kp-023,RELATED_TO,0.75
kp-022,kp-024,PREREQ_TO,0.88
kp-023,kp-024,PREREQ_TO,0.85
kp-024,kp-026,PREREQ_TO,0.95
kp-024,kp-027,RELATED_TO,0.88
kp-025,kp-026,PREREQ_TO,0.88
kp-025,kp-027,RELATED_TO,0.8
kp-026,kp-027,PREREQ_TO,0.9
kp-026,kp-028,RELATED_TO,0.75
kp-029,kp-030,PREREQ_TO,0.88
kp-029,kp-031,PREREQ_TO,0.9
kp-030,kp-032,PREREQ_TO,0.85
kp-031,kp-036,RELATED_TO,0.82
kp-031,kp-037,RELATED_TO,0.78
kp-032,kp-034,PREREQ_TO,0.85
kp-032,kp-033,RELATED_TO,0.8
kp-033,kp-034,RELATED_TO,0.78
kp-034,kp-035,RELATED_TO,0.75
kp-035,kp-036,RELATED_TO,0.72
kp-036,kp-037,RELATED_TO,0.75
kp-037,kp-044,RELATED_TO,0.68
kp-038,kp-040,PREREQ_TO,0.88
kp-038,kp-041,PREREQ_TO,0.82
kp-039,kp-040,PREREQ_TO,0.85
kp-039,kp-041,RELATED_TO,0.75
kp-040,kp-042,RELATED_TO,0.8
kp-041,kp-042,RELATED_TO,0.78
kp-042,kp-043,RELATED_TO,0.72
kp-043,kp-044,RELATED_TO,0.65
kp-045,kp-046,PREREQ_TO,0.88
kp-045,kp-047,PREREQ_TO,0.85
kp-046,kp-047,RELATED_TO,0.82
kp-046,kp-048,PREREQ_TO,0.8
kp-047,kp-050,RELATED_TO,0.75
kp-048,kp-049,RELATED_TO,0.72
kp-048,kp-050,RELATED_TO,0.68
kp-049,kp-050,RELATED_TO,0.7
kp-051,kp-052,RELATED_TO,0.85
kp-051,kp-047,RELATED_TO,0.8
kp-052,kp-047,RELATED_TO,0.82
kp-052,kp-048,RELATED_TO,0.78
kp-053,kp-054,PREREQ_TO,0.8
kp-053,kp-055,PREREQ_TO,0.75
kp-053,kp-056,PREREQ_TO,0.72
kp-054,kp-057,RELATED_TO,0.75
kp-055,kp-056,RELATED_TO,0.7
kp-056,kp-057,RELATED_TO,0.68
kp-001,kp-005,RELATED_TO,0.7
kp-012,kp-021,RELATED_TO,0.72
kp-029,kp-038,RELATED_TO,0.8
kp-018,kp-058,PREREQ_TO,0.8
kp-019,kp-058,PREREQ_TO,0.85
kp-015,kp-059,PREREQ_TO,0.88
kp-018,kp-059,RELATED_TO,0.75
kp-024,kp-060,PREREQ_TO,0.85
kp-025,kp-060,PREREQ_TO,0.85
kp-026,kp-060,RELATED_TO,0.8
kp-035,kp-061,RELATED_TO,0.75
kp-036,kp-061,RELATED_TO,0.72
kp-042,kp-062,RELATED_TO,0.78
kp-043,kp-062,PREREQ_TO,0.82
kp-047,kp-063,RELATED_TO,0.8
kp-051,kp-063,RELATED_TO,0.75
kp-052,kp-063,RELATED_TO,0.72
kp-012,kp-058,RELATED_TO,0.7
kp-022,kp-060,RELATED_TO,0.7
kp-031,kp-061,RELATED_TO,0.65
kp-038,kp-062,RELATED_TO,0.7
