type,exam_type,subject,chapter,year,difficulty,content,options,answer,explanation
SINGLE,二建,专业实务,市政1.1,2024,2,"关于城镇道路路基施工的说法，错误的是（  ）。","{""A"":""路基填土应分层进行，逐层压实，填土宽度比设计宽度宽500mm"",""B"":""路床土过筛时，应根据筛孔尺寸选择合适的筛子"",""C"":""挖方路基应自上而下分层开挖，严禁掏洞开挖"",""D"":""雨期施工应分层填土，随填随压"",""E"":""冬期施工应当日填土当日碾压"",""F"":""路基顶面应做成路拱以利排水""}","D","路基施工雨期应分层填土，随填随压实，保持填土含水量适宜；选项D说随填随压不够准确。正确答案D。"
SINGLE,二建,专业实务,市政1.2,2023,2,"下列关于沥青混合料接缝施工的说法，正确的是（  ）。","{""A"":""梯队作业应使用热接缝，将已铺部分留下100~150mm暂不碾压"",""B"":""半幅施工可采用冷接缝，涂刷粘层油后直接摊铺"",""C"":""横向接缝宜垂直于道路中线碾压"",""D"":""纵向热接缝应用烙铁烫平接缝口"",""E"":""高速公路的表面层横向接缝应采用平接缝"",""F"":""接缝处沥青混合料温度不应低于120℃""}","C","横向接缝应垂直于道路中线碾压，选项C正确。其他选项描述有误。正确答案C。"
SINGLE,二建,专业实务,市政2.1,2024,3,"关于钻孔灌注桩施工的说法，错误的是（  ）。","{""A"":""泥浆应选用塑性指数IP＞10的黏性土配制"",""B"":""护筒顶面宜高出施工水位或地下水位2m以上"",""C"":""灌注水下混凝土时，导管埋入混凝土深度宜为2~6m"",""D"":""桩顶混凝土浇筑完毕后应立即将浮浆凿除"",""E"":""吊放钢筋笼时，应对准孔位轻放轻提"",""F"":""清孔后应立即浇筑水下混凝土""}","A","泥浆应选用塑性指数IP＞17的黏性土或膨润土配制，选项A错误。正确答案A。"
SINGLE,二建,专业实务,市政2.2,2023,2,"关于先张法预应力筋放张的说法，正确的是（  ）。","{""A"":""预应力筋放张时，混凝土强度应达到设计强度的75%以上"",""B"":""放张应从固定端开始，由中间向两端进行"",""C"":""多根整批预应力筋放张时，采用砂箱放张法时，其硫磺熔化温度不应低于150℃"",""D"":""预应力筋放张后，即可将预应力筋切断"",""E"":""千斤顶放张适用于单根钢筋放张"",""F"":""放张顺序应符合设计规定，设计无规定时应分阶段、对称、交错地放张""}","A","预应力筋放张时，混凝土强度应达到设计强度的75%以上，选项A正确。正确答案A。"
SINGLE,二建,专业实务,市政3.1,2024,2,"关于明挖法施工的说法，错误的是（  ）。","{""A"":""明挖基坑围护结构类型包括排桩、地下连续墙、水泥土挡墙等"",""B"":""地下连续墙施工时，混凝土浇筑应采用导管法，导管下端插入槽底200~300mm"",""C"":""SMW工法桩内插水泥土搅拌桩时，相邻搅拌桩搭接宽度不应小于200mm"",""D"":""钻孔灌注桩围护结构可采用干作业或湿作业成孔"",""E"":""土钉墙开挖顺序为先挖护坡再挂网喷锚"",""F"":""基坑变形监测点应在基坑内缘布置""}","E","土钉墙开挖顺序为从上到下、分层开挖、先喷锚后开挖，选项E描述错误。正确答案E。"
SINGLE,二建,专业实务,市政3.2,2023,3,"关于盾构法施工的说法，正确的是（  ）。","{""A"":""盾构隧道衬砌类型只有钢筋混凝土管片一种"",""B"":""盾构掘进方向与管片环方向的关系称为推进油缸行程差"",""C"":""盾构到达接收井时，应对洞口土体进行加固，加固范围为洞口前方不小于5m"",""D"":""盾构姿态测量包括偏差方向、偏差值、趋势"",""E"":""同步注浆应在盾构掘进的同时进行，注浆量应控制在建筑空隙的100%~150%"",""F"":""管片安装顺序为先安装标准管片再安装邻接管片最后安装楔形管片""}","D","盾构姿态测量包括偏差方向、偏差值、趋势，选项D正确。正确答案D。"
SINGLE,二建,专业实务,市政4.1,2024,2,"关于现浇混凝土水池施工的说法，错误的是（  ）。","{""A"":""水池底板混凝土应一次性连续浇筑，不留施工缝"",""B"":""池壁混凝土应分层浇筑，每层厚度不大于300mm"",""C"":""池壁模板应采用对拉螺栓固定，螺栓中部应设止水片"",""D"":""混凝土浇筑完毕后12h内应开始养护，养护时间不少于14d"",""E"":""防水混凝土入泵坍落度宜为120~140mm"",""F"":""后浇带混凝土强度等级应比原结构提高一级""}","A","水池底板大体积混凝土应分块浇筑，合理设置后浇带，选项A表述过于绝对。正确答案A。"
SINGLE,二建,专业实务,市政4.2,2023,2,"关于城市管道不开槽施工的说法，正确的是（  ）。","{""A"":""定向钻施工适用于软土层，铺设管径范围DN300~DN1000mm"",""B"":""夯管法适用于砂卵石层及含水地层，管道材质只能是钢管"",""C"":""顶管施工工作坑后背墙应具有足够的刚度和强度"",""D"":""浅埋暗挖法适用于任何土层"",""E"":""定向钻导向孔钻进时，泥浆压力与钻进深度成正比"",""F"":""密闭式顶管的管节接口主要由内裙缝和外套缝组成""}","C","顶管施工工作坑后背墙应具有足够的刚度和强度，选项C正确。正确答案C。"
SINGLE,二建,专业实务,市政5.1,2024,3,"关于城镇燃气管道施工的说法，错误的是（  ）。","{""A"":""燃气管道穿越铁路、公路时，应采用外套管保护"",""B"":""燃气管道与给水管道的水平净距不应小于1m"",""C"":""燃气管道与10kV电力电缆的水平净距不应小于1m"",""D"":""燃气管道可利用道路桥梁跨越河流"",""E"":""燃气管道穿越河底时，管道至河床覆土厚度应根据水流冲刷情况确定"",""F"":""燃气管道附属设备包括闸井、阀门、补偿器等""}","D","燃气管道严禁利用道路、桥梁跨越河流，应采用专门管道跨越。正确答案D。"
SINGLE,二建,专业实务,市政6.1,2023,2,"关于生活垃圾填埋场HDPE膜铺设的说法，正确的是（  ）。","{""A"":""HDPE膜应全面展开铺设，展开方向与锚固沟槽方向平行"",""B"":""膜的搭接宽度应为150mm，接缝处膜与膜应自然平顺贴合"",""C"":""铺设应一次展开到位，展开后应及时拉平固定"",""D"":""铺设过程中应随时检查膜的外观有无划伤、破洞等"",""E"":""应对焊缝进行打压试验，打压压力为0.3MPa"",""F"":""锚固沟回填土料应满足压实度要求，每层回填厚度不大于300mm""}","D","HDPE膜铺设过程中应随时检查外观，选项D正确。正确答案D。"
