type,exam_type,subject,chapter,year,difficulty,content,options,answer,explanation
SINGLE,二建,专业实务,机电1.1,2024,2,"关于变压器送电试运行的说法，正确的是（  ）。","{""A"":""变压器第一次投入时，可全电压冲击合闸"",""B"":""变压器应进行5次空载全电压冲击合闸"",""C"":""第一次受电后持续时间不应少于10min"",""D"":""空载运行期间应记录冲击电流和空载电流"",""E"":""变压器送电时，中性点接地开关应最后合上"",""F"":""试运行期间，变压器的温升不应有突然变化""}","D","变压器空载全电压冲击合闸时，第一次受电后持续时间不应少于10min，变压器应进行5次空载全电压冲击合闸。选项A变压器第一次投入时，可全电压冲击合闸（正确）；选项B应为5次空载冲击（正确）；选项C第一次受电后持续时间不应少于10min（正确）；选项E变压器送电时，中性点接地开关应先合上（非最后）；选项F试运行期间，变压器温升不应有突然变化（正确）。正确答案D（注意本题为单选题，选项D正确描述了应记录冲击电流和空载电流）。"
SINGLE,二建,专业实务,机电1.2,2023,2,"关于建筑电气导管配线施工的说法，正确的是（  ）。","{""A"":""潮湿场所应采用金属导管，其壁厚不应小于1.5mm"",""B"":""明配钢管与盒（箱）连接应采用锁紧螺母或护套帽固定"",""C"":""埋入建筑物内的钢导管，离墙表面净距不应大于15mm"",""D"":""导管穿越密闭或防护密闭隔墙时，应设置预埋套管"",""E"":""塑料导管的连接应采用热熔连接"",""F"":""金属软管可作为线路的过长导管使用""}","B","明配钢管与盒（箱）连接应采用锁紧螺母或护套帽固定。选项A潮湿场所应采用金属导管，壁厚不应小于2.0mm（非1.5mm）；选项C埋入建筑物内的钢导管，离墙表面净距不应小于15mm（非大于15mm）；选项D导管穿越密闭或防护密闭隔墙时，应设置预埋套管（正确）；选项E塑料导管的连接应采用胶合剂粘接（非热熔）；选项F金属软管不宜作为线路的过长导管使用。正确答案B。"
SINGLE,二建,专业实务,机电2.1,2024,3,"关于建筑防雷与接地装置安装的说法，正确的是（  ）。","{""A"":""建筑物屋顶金属栏杆可用作接闪装置"",""B"":""接闪杆应与建筑物外露金属构件电气连接"",""C"":""人工接地体水平敷设时，埋设深度不应小于0.5m"",""D"":""扁钢与扁钢搭接焊接时，搭接长度不应小于扁钢宽度的2倍"",""E"":""桩基础中的钢筋可作为防雷装置的接地体"",""F"":""接地电阻值越小越好，无最大值要求""}","E","桩基础中的钢筋可作为防雷装置的接地体。选项A建筑物屋顶金属栏杆可用作接闪装置，但需满足相关标准要求；选项B接闪杆应与建筑物外露金属构件电气连接（正确）；选项C人工接地体水平敷设时，埋设深度不应小于0.6m（非0.5m）；选项D扁钢与扁钢搭接焊接时，搭接长度不应小于扁钢宽度的2倍（正确）；选项F接地电阻值有要求，不同用途的接地电阻要求不同。正确答案E。"
SINGLE,二建,专业实务,机电2.2,2023,2,"关于建筑智能化系统检测的说法，正确的是（  ）。","{""A"":""建筑智能化系统检测应在系统验收后进行"",""B"":""火灾自动报警及消防联动系统的检测，应在系统连续运行120h后进行"",""C"":""安全防范系统应先单项检测后系统集成"",""D"":""通风与空调监控系统的检测应以系统控制功能为主"",""E"":""信息网络系统检测应以功能检测为主"",""F"":""建筑智能化系统检测可由施工单位自行完成""}","C","安全防范系统应先进行设备单项检测，再进行系统集成检测。选项A建筑智能化系统检测应在系统验收前进行；选项B火灾自动报警及消防联动系统的检测，应在系统连续运行48h后进行（非120h）；选项D通风与空调监控系统的检测应以系统控制功能为主（正确）；选项E信息网络系统检测应以功能检测为主（正确）；选项F建筑智能化系统检测应由具有相应检测资质的检测机构完成。正确答案C。"
SINGLE,二建,专业实务,机电3.1,2024,2,"关于通风与空调系统风管安装的说法，正确的是（  ）。","{""A"":""风管与法兰铆接时，翻边应均匀平整"",""B"":""风管穿过需要封闭的防火、防爆墙体时，应设预埋管或防护套管"",""C"":""金属风管支、吊架的间距不应大于3m"",""D"":""非金属风管采用套管连接时，套管厚度不应小于风管厚度"",""E"":""风管安装完毕后，应按系统类别进行严密性检验"",""F"":""中压风管系统应全部进行漏风量测试""}","A","风管与法兰铆接时，翻边应均匀平整，宽度不应小于6mm。选项B风管穿过需要封闭的防火、防爆墙体时，应设预埋管或防护套管（正确）；选项C金属风管支、吊架的间距应根据风管材质和接口方式确定，一般不应大于3m（正确）；选项D非金属风管采用套管连接时，套管厚度不应小于风管厚度（正确）；选项E风管安装完毕后，应按系统类别进行严密性检验（正确）；选项F中压风管系统应全部进行漏风量测试（正确）。正确答案A。"
SINGLE,二建,专业实务,机电3.2,2023,3,"关于电梯安装的说法，正确的是（  ）。","{""A"":""电梯安装单位对电梯安全性能负责"",""B"":""电梯安装完成后，施工单位应进行校验和调试"",""C"":""电梯轿厢地坎与层门地坎的垂直偏差不应大于3mm"",""D"":""电梯安装过程中，导轨安装是首要工序"",""E"":""电梯安装单位应将技术资料存入工程档案"",""F"":""电梯安装单位对安装过程中发生的事故不承担责任""}","A","电梯安装单位对电梯安全性能负责。选项B电梯安装完成后，应由电梯检验检测机构进行校验和调试；选项C电梯轿厢地坎与层门地坎的垂直偏差不应大于2mm（非3mm）；选项D电梯安装的首要工序是对电梯安装条件进行验收确认；选项E电梯安装单位应将技术资料存入工程档案（正确）；选项F电梯安装单位对安装过程中发生的事故承担相应责任。正确答案A。"
SINGLE,二建,专业实务,机电4.1,2024,2,"关于消防联动控制系统设备安装的说法，正确的是（  ）。","{""A"":""火灾报警控制器安装位置应便于操作和维修"",""B"":""火灾探测器至墙壁、梁边的水平距离不应小于0.5m"",""C"":""手动火灾报警按钮安装高度宜为距地面1.3~1.5m"",""D"":""消防应急广播扬声器安装应牢固可靠"",""E"":""火灾自动报警系统调试应先调试报警主机"",""F"":""消防联动控制器应能在收到火灾报警信号后3s内发出联动控制信号""}","A","火灾报警控制器安装位置应便于操作和维修，其正面操作距离不应小于1.2m。选项B火灾探测器至墙壁、梁边的水平距离不应小于0.5m（正确）；选项C手动火灾报警按钮安装高度宜为距地面1.3~1.5m（正确）；选项D消防应急广播扬声器安装应牢固可靠（正确）；选项E火灾自动报警系统调试应先调试报警探测器，再调试报警主机；选项F消防联动控制器应能在收到火灾报警信号后3s内发出联动控制信号（正确）。正确答案A。"
SINGLE,二建,专业实务,机电4.2,2023,2,"关于建筑电气照明安装的说法，正确的是（  ）。","{""A"":""开关安装位置应便于操作，距门框边缘宜为0.15~0.2m"",""B"":""同一室内有多个灯具时，偏差不应大于5mm"",""C"":""应急照明配电箱应安装在各防火分区的配电小间内"",""D"":""照明配电箱内应分别设置零线和保护接地汇流排"",""E"":""插座回路应设置短路和过载保护"",""F"":""大型花灯固定装置应采用预埋吊钩""}","D","照明配电箱内应分别设置零线（N）和保护接地（PE）汇流排。选项A开关安装位置应便于操作，距门框边缘宜为0.15~0.2m（正确）；选项B同一室内有多个灯具时，偏差不应大于5mm（正确）；选项C应急照明配电箱应安装在各防火分区的配电小间内（正确）；选项E插座回路应设置短路和过载保护（正确）；选项F大型花灯固定装置应采用预埋吊钩（正确）。正确答案D。"
SINGLE,二建,专业实务,建筑3.1,2024,3,"关于建筑装饰装修工程施工的说法，正确的是（  ）。","{""A"":""抹灰工程应分层进行，每层厚度应控制在5~8mm"",""B"":""外墙和顶棚抹灰前，应抹灰基层与实体之间满挂金属网"",""C"":""轻质隔墙板材安装时，应从一端向另一端顺序安装"",""D"":""板块地面铺装时，应在结合层上铺设"",""E"":""防水层与墙体之间应做界面处理"",""F"":""建筑装饰装修工程验收时，应检查施工组织设计文件""}","D","板块地面铺装时，应在结合层上铺设。选项A抹灰工程应分层进行，每层厚度应控制在5~7mm（非5~8mm）；选项B外墙和顶棚抹灰前，应抹灰基层与实体之间满挂金属网（非所有情况都满挂）；选项C轻质隔墙板材安装时，应从一端向另一端顺序安装（正确）；选项E防水层与墙体之间应做界面处理（正确）；选项F建筑装饰装修工程验收时，应检查施工技术资料（非施工组织设计）。正确答案D。"
SINGLE,二建,专业实务,建筑3.2,2023,2,"关于幕墙工程施工的说法，正确的是（  ）。","{""A"":""幕墙与主体结构连接件应采用Q235钢材制作"",""B"":""硅酮结构密封胶应在温度15~30℃、湿度40%~80%的室内环境中注胶"",""C"":""全玻幕墙的板面与装修面或结构面之间的空隙不应小于15mm"",""D"":""石材幕墙的石材面板与骨架的连接方式有短槽式和背栓式"",""E"":""幕墙铝合金型材的壁厚不应小于3mm"",""F"":""幕墙的防雷装置可以与建筑主体结构的防雷装置断开连接""}","D","石材幕墙的石材面板与骨架的连接方式有短槽式和背栓式。选项A幕墙与主体结构连接件应采用Q235钢材制作（正确）；选项B硅酮结构密封胶应在温度15~30℃、湿度50%~80%的室内环境中注胶（非40%~80%）；选项C全玻幕墙的板面与装修面或结构面之间的空隙不应小于15mm（正确）；选项E幕墙铝合金型材的壁厚不应小于3mm（正确）；选项F幕墙的防雷装置应与建筑主体结构的防雷装置可靠连接。正确答案D。"
