kp_id,name,description,subject,chapter,exam_frequency,weight
kp-001,施工组织设计,掌握施工组织设计的内容、编制原则和编制方法,施工管理,1.1,0.85,0.9
kp-002,项目管理目标责任书,了解项目管理目标责任书的制定依据和主要内容,施工管理,1.1,0.60,0.7
kp-003,项目经理的职责,掌握项目经理的职责、权限和责任,施工管理,1.1,0.90,0.9
kp-004,施工组织设计的编制程序,掌握施工组织设计的编制程序和审批流程,施工管理,1.1,0.75,0.8
kp-005,项目结构分析,掌握项目结构图的编制方法和编码原则,施工管理,1.2,0.80,0.85
kp-006,组织结构图,掌握组织结构图和项目管理机构结构图的绘制,施工管理,1.2,0.70,0.75
kp-007,工作流程组织,理解工作流程组织的分类和应用场景,施工管理,1.2,0.65,0.7
kp-008,合同结构图,掌握合同结构图的绘制方法和作用,施工管理,1.2,0.55,0.6
kp-009,管理职能分工,掌握管理职能分工表的编制和使用,施工管理,1.2,0.70,0.75
kp-010,施工风险管理,掌握施工风险的类型、识别方法和风险应对策略,施工管理,1.3,0.85,0.9
kp-011,建设工程监理,了解建设工程监理的概念、性质和工作内容,施工管理,1.3,0.60,0.65
kp-012,成本管理概述,理解施工成本管理的任务、措施和程序,施工管理,2.1,0.80,0.85
kp-013,施工成本计划,掌握施工成本计划的类型、编制依据和方法,施工管理,2.1,0.90,0.9
kp-014,施工成本控制,掌握施工成本控制的方法和过程,施工管理,2.1,0.88,0.9
kp-015,赢得值法,掌握赢得值法的三个基本参数和四个评价指标,施工管理,2.2,0.95,0.95
kp-016,施工成本分析的依据,掌握施工成本分析的依据和方法,施工管理,2.2,0.75,0.8
kp-017,施工成本考核,理解施工成本考核的依据、指标和方法,施工管理,2.2,0.65,0.7
kp-018,成本加酬金合同,掌握成本加酬金合同的特点、适用场景和分类,施工管理,2.3,0.80,0.85
kp-019,工程变更价款的确定,掌握工程变更价款确定的原则和程序,施工管理,2.3,0.85,0.9
kp-020,施工索赔,掌握施工索赔的条件、程序和费用计算方法,施工管理,2.3,0.90,0.92
kp-021,施工进度管理概述,理解施工进度管理的任务、方法和措施,施工管理,3.1,0.75,0.8
kp-022,施工进度计划的类型,掌握施工进度计划的分类和作用,施工管理,3.1,0.80,0.85
kp-023,横道图,掌握横道图的特点、应用和局限性,施工管理,3.1,0.85,0.88
kp-024,双代号网络计划,掌握双代号网络计划的绘制方法、时间参数计算和关键线路确定,施工管理,3.1,0.95,0.95
kp-025,单代号网络计划,掌握单代号网络计划的特点和时间参数计算,施工管理,3.1,0.88,0.9
kp-026,关键工作与关键路线,掌握关键工作的判断方法、关键路线的确定和优化,施工管理,3.2,0.95,0.96
kp-027,施工进度计划的调整,掌握施工进度计划调整的方法和措施,施工管理,3.2,0.85,0.88
kp-028,进度控制的经济措施,理解施工进度控制的经济措施和技术措施,施工管理,3.2,0.70,0.75
kp-029,施工质量管理的特点,掌握施工质量管理的特点、原则和责任体系,施工管理,4.1,0.80,0.85
kp-030,施工质量控制的责任制,掌握施工质量控制的责任制和三检制,施工管理,4.1,0.78,0.82
kp-031,PDCA循环,掌握PDCA循环的原理、各阶段职能和作用,施工管理,4.1,0.90,0.92
kp-032,施工质量验收,掌握施工质量验收的标准、程序和方法,施工管理,4.2,0.88,0.9
kp-033,工程质量问题的处理,掌握工程质量问题分类、处理程序和应急措施,施工管理,4.2,0.82,0.86
kp-034,工程质量事故的分类,掌握工程质量事故分类标准和等级划分,施工管理,4.2,0.85,0.88
kp-035,施工质量统计分析方法,掌握排列图、因果分析图、直方图等统计方法的应用,施工管理,4.3,0.80,0.84
kp-036,施工质量保证体系,掌握施工质量保证体系的建立、运行和评价,施工管理,4.3,0.75,0.8
kp-037,施工企业质量管理体系,掌握施工企业质量管理体系的建立和认证,施工管理,4.3,0.72,0.77
kp-038,安全生产管理制度,掌握安全生产管理制度体系和安全技术措施,施工管理,5.1,0.90,0.92
kp-039,危险源识别与控制,掌握危险源的分类、识别方法和控制措施,施工管理,5.1,0.85,0.88
kp-040,安全技术措施,掌握安全技术措施的编制依据、内容和审批程序,施工管理,5.1,0.80,0.84
kp-041,安全事故应急预案,掌握安全事故应急预案的编制、演练和响应程序,施工管理,5.1,0.75,0.8
kp-042,安全事故分类与处理,掌握安全事故分类标准、事故报告程序和处理原则,施工管理,5.2,0.88,0.9
