type,exam_type,subject,chapter,year,difficulty,content,options,answer,explanation
SINGLE,二建,专业实务,市政1.1,2022,2,关于水泥混凝土路面养护的说法，正确的是（  ）。,"{""A"":""机械摊铺时，养护时间不少于14d"",""B"":""高温期施工应缩短养护时间"",""C"":""混凝土强度达到设计强度的75%后可开放交通"",""D"":""低温期施工应覆盖保温材料养护"",""E"":""养护期间应限制交通车辆速度"",""F"":""采用喷洒养护剂时，厚度不宜小于0.5mm""}",D,水泥混凝土路面养护：高温期施工应增加养护时间，低温期应覆盖保温材料。选项D正确。
SINGLE,二建,专业实务,市政2.1,2022,3,关于桥梁悬臂浇筑法施工的说法，正确的是（  ）。,"{""A"":""悬臂浇筑应从桥墩向跨中方向推进"",""B"":""合龙段混凝土强度应提高一级"",""C"":""挂篮安装后应进行荷载试验"",""D"":""浇筑顺序为先边跨后次跨再中跨"",""E"":""施工中应对桥墩进行变形监测"",""F"":""预应力筋张拉顺序为先腹板后顶板""}",C,悬臂浇筑应从桥墩向两侧推进，合龙段强度提高一级，挂篮安装后需荷载试验。选项C正确。
SINGLE,二建,专业实务,市政3.1,2022,3,关于基坑支撑体系设计的说法，错误的是（  ）。,"{""A"":""内支撑应分层对称开挖随挖随撑"",""B"":""钢支撑安装顺序应先安装对撑再安装角撑"",""C"":""混凝土支撑应在混凝土达到设计强度80%后拆模"",""D"":""支撑拆除应置换砼达到设计强度后进行"",""E"":""基坑变形监测点应在支护结构顶部布置"",""F"":""围护结构顶部水平位移最大值应在基坑边缘布置""}",E,基坑变形监测点应在基坑外缘布置，以监测围护结构对周围环境的影响。选项E错误。
SINGLE,二建,专业实务,市政4.2,2022,2,关于定向钻施工的说法，正确的是（  ）。,"{""A"":""导向孔钻进时泥浆压力与钻进深度成正比"",""B"":""扩孔直径一般为管道直径的1.2~1.5倍"",""C"":""回拖前应检查导向孔轨迹"",""D"":""管道回拖应连续作业不得中断"",""E"":""导向孔钻进角度偏差不应大于2度"",""F"":""泥浆配方应根据地质条件确定""}",D,定向钻管道回拖应连续作业，中断会增大摩擦力。选项D正确。
SINGLE,二建,专业实务,市政6.1,2022,2,关于沉井施工的说法，正确的是（  ）。,"{""A"":""沉井制作可采用砖砌体作为内模"",""B"":""沉井下沉应分层均匀开挖"",""C"":""沉井封底混凝土应一次浇筑完成"",""D"":""沉井接高时，上下节井壁接缝应凿毛清理"",""E"":""水下封底时应从沉井中心向四周进行"",""F"":""沉井纠偏应均匀出土或配重偏移""}",D,沉井接高时上下节井壁接缝应凿毛清理，保证混凝土结合质量。选项D正确。
SINGLE,二建,专业实务,施工1.1,2022,2,根据《建设工程项目管理规范》，项目管理机构负责人的权限不包括（  ）。,"{""A"":""主持项目管理部工作"",""B"":""制定内部计酬办法"",""C"":""参与选择分包单位"",""D"":""主持编制项目管理实施规划"",""E"":""调配并管理进入项目的生产要素"",""F"":""进行授权范围内的利益分配""}",E,调配并管理进入项目的生产要素属于项目管理目标责任书内容，不属于负责人权限。选项E错误。
SINGLE,二建,专业实务,施工2.1,2022,3,关于施工总平面图设计的说法，正确的是（  ）。,"{""A"":""临时设施应按审批的施工组织设计布置"",""B"":""办公区宜靠近施工现场"",""C"":""加工区应靠近既有交通线路"",""D"":""临时用电线路宜远离地面"",""E"":""宿舍应布置在锅炉房等热源上方"",""F"":""施工现场应设置大门和门卫室""}",A,临时设施应按审批的施工组织设计布置，施工现场应设置大门和门卫室。选项A正确。
SINGLE,二建,专业实务,法规2.1,2022,3,根据《招标投标法实施条例》，视为投标人相互串通投标的情形有（  ）。,"{""A"":""不同投标人的投标文件由同一单位编制"",""B"":""不同投标人委托同一单位办理投标事宜"",""C"":""不同投标人的投标文件相互混装"",""D"":""投标人之间约定中标人"",""E"":""不同投标人的投标文件异常一致"",""F"":""投标人之间协商投标报价""}",C,不同投标人投标文件相互混装视为串通投标。选项C正确。
SINGLE,二建,专业实务,市政1.1,2021,2,关于石灰稳定土基层施工的说法，正确的是（  ）。,"{""A"":""宜采用塑性指数10~15的土"",""B"":""石灰剂量应经试验确定"",""C"":""施工温度不应低于5℃"",""D"":""养生期不少于7d"",""E"":""雨水污水管道施工后应尽早施工"",""F"":""石灰土应分层连续施工""}",B,石灰剂量应通过试验确定，太大或太小都会影响强度。选项B正确。
SINGLE,二建,专业实务,市政2.2,2021,2,关于后张法预应力筋张拉的说法，正确的是（  ）。,"{""A"":""张拉顺序先中间后两边对称进行"",""B"":""张拉台座一端应设置锚固区"",""C"":""预应力筋张拉时，混凝土强度应达到设计强度的100%"",""D"":""张拉控制应力达到后可锚固"",""E"":""锚固后预应力筋外露长度不应小于30mm"",""F"":""张拉过程中应测量预应力筋伸长值""}",F,后张法张拉过程中应测量预应力筋伸长值，作为校核。选项F正确。
