type,exam_type,subject,chapter,year,difficulty,content,options,answer,explanation,knowledge_point_id
SINGLE,二建,施工管理,1.1,2020,2,"建设工程项目决策期管理工作的主要任务","{""A"":""确定项目的定义"",""B"":""明确项目管理团队"",""C"":""实现项目的投资目标"",""D"":""实现项目的使用功能""}","A","项目决策期管理工作的主要任务是确定项目的定义，而项目实施期管理的主要任务是通过管理使项目的目标得以实现。",1
SINGLE,二建,施工管理,1.1,2020,2,"施工总承包管理模式中，与分包单位直接签订施工合同的单位一般是","{""A"":""业主方"",""B"":""监理方"",""C"":""施工总承包方"",""D"":""施工总承包管理方""}","A","施工总承包管理模式的合同关系有两种可能，即业主与分包单位直接签订合同或者由施工总承包管理单位与分包单位签订合同。",1
SINGLE,二建,施工管理,1.1,2020,2,"在工作流程图中，菱形框表示的是","{""A"":""工作"",""B"":""工作执行者"",""C"":""逻辑关系"",""D"":""判别条件""}","D","工作流程图用矩形框表示工作，箭线表示工作之间的逻辑关系，菱形框表示判别条件。",1
SINGLE,二建,施工管理,1.2,2020,3,"某项目管理机构设立了合约部、工程部和物资部等部门，其中物资部下设采购组和保管组，合约部工程部均可对采购组下达工作指令，则该组织结构模式是","{""A"":""强矩阵组织结构"",""B"":""弱矩阵组织结构"",""C"":""职能组织结构"",""D"":""线性组织结构""}","C","在职能组织结构中，每一个职能部门可根据它的管理职能对其直接和非直接的下属工作部门下达工作指令。",5
SINGLE,二建,施工管理,1.2,2020,2,"编制施工组织总设计时，编制资源需求量计划的紧前工作是","{""A"":""拟定施工方案"",""B"":""编制施工总进度计划"",""C"":""施工总平面设计图"",""D"":""编制施工准备工作计划""}","B","施工组织总设计的编制程序：收集资料→计算工程量→确定施工总体部署→拟订施工方案→编制施工总进度计划→编制资源需求量计划。",5
SINGLE,二建,施工管理,1.3,2020,2,"下列影响施工质量的环境因素中，属于管理环境因素的是","{""A"":""施工现场平面布置和空间环境"",""B"":""施工现场道路交通情况"",""C"":""施工现场安全防护措施"",""D"":""施工参建单位之间的协调""}","D","施工质量管理环境因素主要指施工单位质量管理体系、质量管理制度和各参建施工单位之间的协调等因素。",10
SINGLE,二建,施工管理,2.1,2020,3,"某已标价工程量清单中钢筋混凝土工程的工程量是1000m3,综合单价是600元/m3，该分部工程招标控制价为70万元。实际施工完成合格工程量为1500m3。则固定单价合同下钢筋混凝土工程价款为()万元","{""A"":""60.0"",""B"":""90.0"",""C"":""65.0"",""D"":""70.0""}","B","固定单价合同，按实际完成工程量乘以合同单价计算：1500×600=90万元。",13
SINGLE,二建,施工管理,2.1,2020,2,"采用定额组价的方法确定工程量清单的综合单价时，第一步工作是","{""A"":""测算人、料、机消耗量"",""B"":""计算定额子目工程量"",""C"":""确定人、料、机单价"",""D"":""确定组合定额子目""}","D","综合单价的计算通常采用定额组价的方法，步骤：1.确定组合定额子目；2.计算定额子目工程量；3.测算人、料、机消耗量；4.确定人、料、机单价；5.计算清单项目的人、料、机费；6.计算清单项目的管理费和利润；7.计算清单项目的综合单价。",13
SINGLE,二建,施工管理,2.2,2020,3,"网络计划中，某项工作的持续时间是4天，最早第二天开始。两项紧后工作分最早在第8天和第12天开始，该项工作的自由时差是()天","{""A"":""4"",""B"":""2"",""C"":""6"",""D"":""8""}","B","自由时差=紧后工作最早开始时间-本工作最早开始-本工作持续时间=8-2-4=2天。",15
SINGLE,二建,施工管理,2.3,2020,2,"发承包双方在合同中约定直接成本实报实销，发包方再额外支付笔报酬，若发生设计变更或增加新项目，当直接费超过估算成本的10%时，固定的报酬也要增加。此合同属于成本加酬金合同中的","{""A"":""成本加固定比例合同"",""B"":""成本加奖金合同"",""C"":""成本加固定费用合同"",""D"":""最大成本加费用合同""}","C","成本加固定费用合同：根据双方讨论同意的工程规模、估计工期、技术要求、工作性质及复杂性、所涉及的风险等来考虑确定一笔固定数目的报酬金额作为管理费及利润，对人工、材料、机械台班等直接成本则实报实销。",20
SINGLE,二建,施工管理,2.4,2020,2,"企业质量管理体系文件应由()等构成","{""A"":""质量目标、质量手册、质量计划和质量记录"",""B"":""质量手册、程序文件、质量计划和质量记录"",""C"":""质量方针、质量手册、程序文件和质量记录"",""D"":""质量手册、质量计划、质量记录和质量评审""}","B","质量管理体系的文件主要由质量手册、程序文件、质量计划和质量记录等构成。",58
SINGLE,二建,施工管理,2.5,2020,3,"编制施工项目实施性成本计划的主要依据是","{""A"":""项目投标报价"",""B"":""项目所在地造价信息"",""C"":""施工预算"",""D"":""施工图预算""}","C","施工预算是编制实施性成本计划的主要依据，是施工企业为了加强企业内部的经济核算，在施工图预算的控制下，依据企业内部的施工定额编制的技术经济文件。",59
SINGLE,二建,施工管理,3.1,2020,2,"项目总进度目标论证的主要工作有：①确定项目的工作编码；②编制总进度计划；③编制各层进度计划；④进行进度计划系统的结构分析。这些工作的正确顺序是","{""A"":""④-①-③-②"",""B"":""①-④-③-②"",""C"":""②-④-③-①"",""D"":""③-②-①-④""}","A","建设工程项目总进度目标论证的工作步骤：调查研究和收集资料→进行项目结构分析→进行进度计划系统的结构分析→确定项目的工作编码→编制各层进度计划→协调各层进度计划的关系和编制总进度计划。",24
SINGLE,二建,施工管理,3.1,2020,3,"关于网络计划线路的说法，正确的是","{""A"":""线路可一次用该线路上的节点代号来表示"",""B"":""线路段是由多个箭线组成的通路"",""C"":""线路中箭线的长度之和就是该线路的长度"",""D"":""关键线路只有一条，非关键线路可以有多条""}","A","一般网络图有多条线路，可依次用该线路上的节点代号来记述。线路是由箭线和节点组成的通路；线路中各项工作持续时间之和就是该线路的长度；在各条线路中，有一条或是几条线路的总时间最长，称为关键线路。",24
SINGLE,二建,施工管理,3.2,2020,2,"下列工作内容中，不属于BIM技术应用方面的是","{""A"":""进行管线碰撞模拟"",""B"":""进行正向设计"",""C"":""进行企业人力资源管理"",""D"":""进行可视化演练""}","C","BIM是参数化建模技术，可用于管线碰撞模拟、正向设计、可视化演练等，企业人力资源管理不属于BIM技术应用。",26
SINGLE,二建,施工管理,3.3,2020,2,"网络计划中，某项工作的最早开始时间是第4天，持续2天，两项紧后工作的最迟开始时间是第9天和第11天，该项工作的最迟开始时间是第()天","{""A"":""7"",""B"":""6"",""C"":""8"",""D"":""9""}","A","最迟开始时间等于最迟完成时间减去其持续时间：min(9-2,11-2)=7天。",60
SINGLE,二建,施工管理,4.1,2020,2,"下列施工质量控制工作中，属于PDCA处理环节的是","{""A"":""确定项目施工应达到的质量标准"",""B"":""纠正计划执行中的质量偏差"",""C"":""按质量计划开展施工技术活动"",""D"":""检查施工质量是否达到标准""}","B","A是计划环节；B是处理（Action）环节；C是实施环节；D是检查环节。",31
SINGLE,二建,施工管理,4.2,2020,2,"下列建筑工程施工质量要求中，能够体现个性化的是","{""A"":""法律、法规的要求"",""B"":""质量管理体系标准的要求"",""C"":""施工质量验收标准的要求"",""D"":""工程勘察、设计文件的要求""}","D","工程勘察、设计单位针对本工程的水文地质条件，根据建设单位的要求，从技术和经济结合的角度，为满足工程的使用功能和安全性、经济性、与环境的协调性等要求，以图纸、文件的形式对施工提出要求，是针对每个工程项目的个性化要求。",32
SINGLE,二建,施工管理,4.3,2020,2,"下列施工现场质量检查项目中，适宜采用试验法的是","{""A"":""钢筋的力学性能检验"",""B"":""混凝土坍落度的检测"",""C"":""砌体的垂直度检查"",""D"":""沥青拌合料的温度检测""}","A","试验法是指通过必要的试验手段对质量进行判断的检查方法，主要包括理化试验和无损检测。钢筋的力学性能检验属于理化试验。",35
SINGLE,二建,施工管理,5.1,2020,2,"下列施工现场文明施工措施中，属于组织措施的是","{""A"":""现场按规定设置标志牌"",""B"":""结构外脚手架设置安全网"",""C"":""建立各级文明施工岗位责任制"",""D"":""工地设置符合规定的围挡""}","C","文明施工的组织措施包括建立文明施工的管理组织和健全文明施工的管理制度。",38
SINGLE,二建,施工管理,5.2,2020,3,"某施工现场易塌方的基坑部位，既设防护栏杆和警示牌，又设置照明和夜间警示灯，此措施体现了安全隐患处理中的()原则","{""A"":""单项隐患综合处理"",""B"":""预防与减灾并重处"",""C"":""直接隐患与间接隐患并治"",""D"":""冗余安全度处理""}","D","冗余安全度处理原则：为确保安全，在处理安全隐患时应考虑设置多道防线。",42
SINGLE,二建,施工管理,5.3,2020,2,"施工现场文明施工管理的第一责任人是","{""A"":""建设单位负责人"",""B"":""施工单位负责人"",""C"":""项目专职安全员"",""D"":""项目经理""}","D","确立项目经理为现场文明施工的第一责任人。",62
SINGLE,二建,施工管理,6.1,2020,2,"根据《企业会计准则》，下列费用中，属于间接费用的是","{""A"":""材料装卸保管费"",""B"":""周转材料摊销费"",""C"":""施工现场清理费"",""D"":""项目部的固定资产折旧费""}","D","间接费用是指企业各施工单位为组织和管理工程施工所发生的费用。选项A、C属于其他直接费用；选项B属于直接材料。",47
SINGLE,二建,施工管理,6.2,2020,3,"某地铁工程项目，发包人将14座车站的土建工程分别发包给14个土建施工单位，对应的机电安装工程分别发包给14个机电安装单位，该发承包模式属于()","{""A"":""施工总承包"",""B"":""施工平行发承包"",""C"":""施工总承包管理"",""D"":""项目总承包""}","B","施工平行发承包是指发包方不委托施工总承包单位，而是将施工任务分别委托给多个施工单位。",48
SINGLE,二建,施工管理,6.3,2020,2,"根据《建设工程项目管理规范》，项目管理目标责任书应在项目实施之前，由企业的()与项目经理协商制定","{""A"":""董事会"",""B"":""技术负责人"",""C"":""股东大会"",""D"":""法定代表人""}","D","项目管理目标责任书应在项目实施之前，由法定代表人或其授权人与项目经理协商制定。",51
SINGLE,二建,施工管理,6.4,2020,3,"根据《建设工程工程量清单计价规范》，关于投标人投标报价的说法，正确的是","{""A"":""投标人可以进行适当的总价优惠"",""B"":""投标人的总价优惠不需要反映在综合单价中"",""C"":""规费和税金不得作为竞争性费用"",""D"":""不同承发包模式对于投标报价高低没有直接影响""}","C","建设单位和施工企业均应按照省、自治区、直辖市或行业建设主管部门发布的标准计算规费和税金，不得作为竞争性费用。",63
