type,exam_type,subject,chapter,year,difficulty,content,options,answer,explanation
SINGLE,二建,施工管理,1.1,2024,2,"关于施工总承包管理方主要特征的说法，正确的是（  ）。","{""A"":""它承担施工任务，负责施工资源的组织和管理"",""B"":""它只参与施工招标投标，不参与投标决策"",""C"":""它只与分包单位直接签订合同，不参与协调"",""D"":""它负责整个建设工程的施工技术""}","A","施工总承包管理方（MC）不承担施工任务，主要负责管理和协调，不负责主要施工资源的组织。选项A正确。"
SINGLE,二建,施工管理,1.1,2024,2,"下列组织工具中，可以用来明确项目工作任务分工的是（  ）。","{""A"":""项目结构图"",""B"":""职能分工表"",""C"":""工作任务分工表"",""D"":""管理分工表""}","C","工作任务分工表可以明确项目各参与方的工作任务和分工，正确答案是C。"
SINGLE,二建,施工管理,1.1,2024,3,"项目管理人员为解决施工成本控制问题，决定增加昼夜施工时间以赶工期。该项措施属于施工成本管理措施的（  ）。","{""A"":""技术措施"",""B"":""经济措施"",""C"":""组织措施"",""D"":""合同措施""}","A","增加昼夜施工时间属于技术措施，通过技术手段解决问题，正确答案是A。"
SINGLE,二建,施工管理,1.2,2024,2,"编制项目投资项编码、进度项编码、合同编码和工程档案编码的基础是（  ）。","{""A"":""项目结构图"",""B"":""项目结构编码"",""C"":""工作任务分工"",""D"":""管理组织结构""}","B","项目结构编码是其他编码的基础，因为项目结构图反映了项目组成，正确答案是B。"
SINGLE,二建,施工管理,1.2,2023,2,"某项目部针对现场脚手架拆除作业而制定的事故应急预案称为（  ）。","{""A"":""综合应急预案"",""B"":""现场处置方案"",""C"":""专项应急预案"",""D"":""事故应急预案""}","C","专项应急预案是针对具体事故类型制定的，如脚手架拆除事故，正确答案是C。"
SINGLE,二建,施工管理,2.1,2024,2,"关于建设工程项目策划的说法，正确的是（  ）。","{""A"":""项目策划以项目管理目标为核心"",""B"":""项目策划的目的是项目建设的招标投标工作"",""C"":""工程项目的策划是一个封闭的工作过程"",""D"":""项目策划的实质是知识管理""}","D","工程项目策划的实质是知识管理过程，正确答案是D。"
SINGLE,二建,施工管理,2.1,2024,2,"施工总承包模式在质量管理上的特点是（  ）。","{""A"":""业主对施工总承包单位的依赖较大"",""B"":""业主可以直接控制工程质量"",""C"":""各分包合同接口多，界面复杂"",""D"":""项目质量取决于所有分包商的管理水平""}","A","施工总承包模式下，业主对总承包单位依赖较大，因为总承包负责整体工程质量，正确答案是A。"
SINGLE,二建,施工管理,2.2,2024,1,"某建设工程施工合同约定工程款支付时间为每月25日。施工过程中，因建设单位资金问题从9月开始停止支付施工进度款。11月1日施工单位被迫停工。施工单位可主张工程款的日期是（  ）。","{""A"":""9月25日"",""B"":""10月25日"",""C"":""11月1日"",""D"":""11月25日""}","A","根据合同约定，9月25日应支付8月工程款，建设单位未支付构成违约，施工单位可主张，答案是A。"
SINGLE,二建,施工管理,2.2,2023,3,"赢得值法评价指标中，表示进度提前的是（  ）。","{""A"":""费用偏差（CV）> 0"",""B"":""进度偏差（SV）> 0"",""C"":""费用绩效指数（CPI）> 1"",""D"":""进度绩效指数（SPI）< 1""}","B","进度偏差SV = 已完工作预算费用 - 计划工作预算费用，SV > 0表示进度提前，正确答案是B。"
SINGLE,二建,施工管理,2.3,2024,2,"某工程合同价为5000万元，合同工期为10个月，后因承包商原因导致工期延误，延误期间因建材价格上涨导致实际成本为5500万元。若采用价格调整公式进行动态结算，则可调差项目的材料费调增额为（  ）万元。","{""A"":""100"",""B"":""200"",""C"":""500"",""D"":""1000""}","B","价格调整公式：调增额 = 5500-5000 = 500万元（需根据调差权重计算），题目中简化处理，正确答案是B。"
SINGLE,二建,施工管理,2.3,2023,2,"成本加酬金合同的形式不包括（  ）。","{""A"":""成本加固定费用合同"",""B"":""成本加可变费用合同"",""C"":""成本加奖金合同"",""D"":""最大成本加费用合同""}","B","成本加可变费用合同不属于成本加酬金的常见形式，正确答案是B。"
