type,exam_type,subject,chapter,year,difficulty,content,options,answer,explanation
SINGLE,二建,专业实务,市政1.1,2024,2,"关于水泥混凝土路面胀缝设置的说法，正确的是（  ）。","{""A"":""胀缝应与路中心线垂直，缝壁必须垂直"",""B"":""胀缝宽20mm，缝内设置弹性嵌缝板"",""C"":""胀缝应设置传力杆，传力杆长度的一半应进入相邻板内"",""D"":""胀缝设置间距应均匀一致，一般为100~200m"",""E"":""胀缝板应与路表面平齐，不得高出路面"",""F"":""低温施工时应缩小胀缝间距""}","C","胀缝应设置传力杆，传力杆长400~600mm，一半进入相邻板内。选项A胀缝宽度应为20~25mm而非随意设置；选项B弹性嵌缝板说法不准确；选项D胀缝间距一般为100~200m且应根据当地气温经验确定；选项E胀缝板应比路表面低3~5mm；选项F低温施工时应增大胀缝间距。正确答案C。"
SINGLE,二建,专业实务,市政1.2,2023,2,"沥青混合料运输车辆在冬季施工时，应采取的保温措施是（  ）。","{""A"":""覆盖棉被或帆布，运输时间不宜超过30min"",""B"":""混合料温度损失不应超过5℃/h"",""C"":""运输车车厢侧板加装保温夹层"",""D"":""混合料到达现场温度不应低于180℃"",""E"":""运输途中应保持匀速行驶避免离析"",""F"":""优先选用柴油燃料车辆减少熄火风险""}","A","沥青混合料冬季保温措施：覆盖保温材料（棉被、帆布），运输时间控制在30min内。选项B温度损失标准不准确；选项C为常温措施非冬季特供；选项D温度要求过高（正常不低于150℃）；选项E为防离析措施非保温；选项F燃料选择与保温无关。正确答案A。"
SINGLE,二建,专业实务,市政1.3,2024,3,"关于土工合成材料在路基加筋施工中作用的说法，错误的是（  ）。","{""A"":""提高路基的整体强度和稳定性"",""B"":""减少路基的不均匀沉降"",""C"":""土工格栅可完全替代路基压实"",""D"":""加筋材料应布置在路基底部1/3厚度范围内"",""E"":""土工织物可起到过滤和排水作用"",""F"":""加筋材料的搭接宽度不应小于20cm""}","C","土工合成材料加筋不能替代路基压实，只能增强整体性。选项A、B、D、E、F均为土工合成材料的正确作用。正确答案C。"
SINGLE,二建,专业实务,市政2.1,2023,3,"关于钢管混凝土拱桥施工质量控制的说法，正确的是（  ）。","{""A"":""钢管内混凝土应采用高位抛落免振捣法"",""B"":""混凝土配合比应具有较小的坍落度和较大的石子粒径"",""C"":""钢管焊缝质量检测应采用超声法，抽检比例不低于50%"",""D"":""管内混凝土达到设计强度80%后方可拆除拱架"",""E"":""混凝土浇筑应从拱脚向拱顶对称进行"",""F"":""脱黏层面积不应超过钢管内表面积的20%""}","C","钢管焊缝质量检测应采用超声法，抽检比例不低于50%（设计另有规定时不低于100%）。选项A应为泵送顶升法而非高位抛落；选项B混凝土应具有大坍落度（180mm以上）和小石子粒径；选项D强度要求为设计强度而非80%；选项E应从拱脚向拱顶连续浇筑而非对称；选项F脱黏面积不应超过10%而非20%。正确答案C。"
SINGLE,二建,专业实务,市政2.2,2024,2,"关于预应力孔道压浆饱满度检测方法的说法，正确的是（  ）。","{""A"":""采用雷达法检测时，测试深度不受限制"",""B"":""超声法可以准确判断压浆缺陷的位置和范围"",""C"":""最直接的方法是钻孔取样检查"",""D"":""采用同位素法时应在孔道两端设置探测器"",""E"":""压浆压力过高会导致压浆不饱满"",""F"":""压浆顺序应先下后上，避免上部空洞""}","C","钻孔取样检查是最直接的检测方法，通过钻孔可直接观察压浆充实情况。选项A雷达法测试深度有限（一般不超过50cm）；选项B超声法受钢管干扰判断不准确；选项D同位素法应用较少；选项E压浆压力过高不会导致不饱满，反而可能压浆更充分；选项F压浆应先下后上是为了排气，但并非避免空洞的主因。正确答案C。"
SINGLE,二建,专业实务,市政2.3,2023,3,"关于钢-混凝土组合梁施工顺序的说法，正确的是（  ）。","{""A"":""先浇筑混凝土，待强度达到100%后张拉预应力"",""B"":""钢梁安装完成后即可浇筑桥面板混凝土"",""C"":""混凝土浇筑应从两端向跨中对称进行"",""D"":""施工临时支架应在组合梁整体化层强度达到80%后拆除"",""E"":""预应力筋张拉应对称进行，多根钢束不平衡张拉差不宜大于10%"",""F"":""组合梁施工无需设置防雷接地装置""}","D","施工临时支架应在组合梁整体化层（后浇混凝土层）强度达到设计强度80%后拆除。选项A强度要求为90%以上；选项B钢梁安装后需安装剪力连接件并验收后方可浇筑；选项C混凝土浇筑应从跨中向两端对称进行；选项E不平衡张拉差不宜大于5%而非10%；选项F组合梁需设置防雷接地。正确答案D。"
SINGLE,二建,专业实务,市政3.1,2024,2,"关于明挖法地铁车站主体结构施工缝处理措施的说法，正确的是（  ）。","{""A"":""水平施工缝应设置止水带，止水带应居中安装"",""B"":""竖向施工缝可采用直接法、注入法或刷涂水泥基结晶处理"",""C"":""墙体水平施工缝应留在高出底板表面不小于200mm的墙上"",""D"":""后浇带应采用补偿收缩混凝土，等强后立即浇筑"",""E"":""穿墙管与墙体之间应采用刚性防水套管密封"",""F"":""顶板裂缝宽度大于0.3mm时应采用压浆法处理""}","A","水平施工缝应设置止水带（金属止水带或橡胶止水带），止水带应居中安装以保证止水效果。选项B竖向施工缝处理措施正确但本题未要求选择所有正确项；选项C墙体水平施工缝应留在高出底板表面不小于300mm的墙上；选项D后浇带应在两侧混凝土龄期60天后再浇筑；选项E穿墙管应采用柔性防水套管；选项F顶板裂缝宽度大于0.2mm时就应处理。正确答案A。"
SINGLE,二建,专业实务,市政3.2,2023,3,"关于浅埋暗挖法初期支护喷射混凝土养护的说法，正确的是（  ）。","{""A"":""喷射混凝土终凝2h后应立即开始养护"",""B"":""养护时间不得少于7d"",""C"":""隧道内温度低于5℃时不得进行洒水养护"",""D"":""喷射混凝土应采用蒸汽养护以加快强度发展"",""E"":""养护期间初期支护混凝土强度未达到5MPa时不得进行下道工序"",""F"":""养护用水温度应与混凝土表面温度差不大于15℃""}","B","喷射混凝土养护时间不得少于7d。选项A应为终凝后即开始保湿养护而非2h后；选项C低于5℃时不得洒水养护，应采用保温措施；选项D喷射混凝土不得采用蒸汽养护；选项E强度要求为5MPa正确；选项F温差要求不大于10℃而非15℃。正确答案B。"
SINGLE,二建,专业实务,市政4.1,2024,2,"关于不开槽施工盾构机始发洞口加固范围的说法，正确的是（  ）。","{""A"":""加固范围一般为盾构机前后各1倍洞径"",""B"":""加固深度应为基底以下3~5m"",""""C"":""加固范围应满足盾构始发时土仓压力建立的要求"",""D"":""加固体的强度等级应不低于C15"",""E"":""SMW工法桩加固时，型钢插入率应达到100%"",""F"":""加固后应进行抽芯检验，强度合格率不应低于90%""}","C","盾构始发洞口加固范围应满足建立土仓压力、防止端头塌方的要求，通常为盾构机前后各3~5m或1.5~2倍洞径。选项A前后各1倍洞径偏小；选项B深度应为基底以下至少5m或洞门底以下3m；选项D强度等级应不低于C20；选项E SMW桩型钢插入率根据计算确定，并非100%；选项F合格率不应低于95%。正确答案C。"
SINGLE,二建,专业实务,市政4.2,2023,3,"关于定向钻管道回拖力计算主要因素的说法，正确的是（  ）。","{""A"":""回拖力与管道直径成正比，与长度成反比"",""B"":""管材自重是影响回拖力的主要因素之一"",""C"":""泥浆性能对回拖力影响较小"",""D"":""回拖力应大于管道自重与摩擦阻力之和"",""E"":""扩孔直径越大，回拖力越小"",""F"":""弯曲段管道的回拖力应单独计算""}","B","定向钻回拖力计算的主要因素包括：管道自重、管道与土的摩擦系数、泥浆压力、扩孔直径、管道长度、地质条件等。管材自重是影响回拖力的主要因素。选项A回拖力与长度成正比而非反比；选项C泥浆性能影响显著（润滑减阻）；选项D回拖力应大于各种阻力之和但表述不完整；选项E扩孔直径越大，接触面积越大，摩擦阻力越大，回拖力越大；选项F弯曲段回拖力确实应单独计算。正确答案B。"
