type,exam_type,subject,chapter,year,difficulty,content,options,answer,explanation
SINGLE,二建,专业实务,法规1.3,2023,2,"根据《建筑法》，关于施工许可证管理的说法，正确的是（  ）。","{""A"":""建设单位应当自领取施工许可证之日起3个月内开工"",""B"":""因故中止施工的，施工单位应当自中止施工之日起1个月内向发证机关报告"",""C"":""建设工程恢复施工时，应当向发证机关报告"",""D"":""施工许可证期满后需要延期的，应当重新申领"",""E"":""中止施工满1年的工程，恢复施工前应重新核验施工许可证"",""F"":""施工许可证由工程所在地县级以上人民政府建设行政主管部门审批""}","C","建设单位应当自领取施工许可证之日起3个月内开工，因故不能按期开工的，应当向发证机关申请延期，延期以两次为限，每次不超过3个月。选项A错误（应为3个月，非2个月）；选项B中止施工时，施工单位应当自中止施工之日起1个月内向发证机关报告，而非因故）；选项D施工许可证期满后需要延期的，应当在期满前申请延期，非重新申领；选项E中止施工满1年的工程恢复施工前才需要核验施工许可证，非满半年；选项F施工许可证由工程所在地县级以上人民政府建设行政主管部门审批（正确）。正确答案C。"
SINGLE,二建,专业实务,法规3.2,2023,2,"根据《建设工程质量管理条例》，关于建设工程质量监督制度的说法，正确的是（  ）。","{""A"":""建设单位在领取施工许可证前，应当向工程质量监督机构申报办理工程质量监督手续"",""B"":""工程质量监督机构对建设工程实施质量监督，可以采取查阅工程资料的方式"",""C"":""工程质量监督机构应当建立工程质量违法行为记录档案"",""D"":""对涉及结构安全和使用功能的重要分部工程，监督机构应当按有关规定进行抽样检测"",""E"":""工程质量监督机构对工程竣工验收进行监督，竣工验收须在7日前通知监督人员"",""F"":""对违反质量管理条例的行为，监督机构有权责令改正但无权处以罚款""}","D","根据《建设工程质量管理条例》，对涉及结构安全和使用功能的重要分部工程，监督机构应当按有关规定进行抽样检测。选项A建设单位在领取施工许可证之前，应当向工程质量监督机构申报办理工程质量监督手续（正确，但注意不是领取施工许可证前，而是开工前）；选项B工程质量监督机构实施质量监督可以采取查阅工程建设各方责任主体的质量行为文件的方式；选项C应建立工程质量责任主体违法行为记录档案；选项E竣工验收应在5日前通知监督人员；选项F监督机构有权责令改正并处以罚款。正确答案D。"
SINGLE,二建,专业实务,法规4.2,2023,2,"根据《建设工程安全生产管理条例》，关于建设工程生产安全事故应急救援的说法，正确的是（  ）。","{""A"":""实行施工总承包的，由总承包单位统一组织编制建设工程生产安全事故应急救援预案"",""B"":""实行施工总承包的，由总承包单位和各专业承包单位分别编制应急救援预案"",""C"":""建筑施工单位应当建立应急救援队伍，配备必要的应急救援器材和设备"",""D"":""应急救援预案应报当地建设行政主管部门备案，有效期3年"",""E"":""发生生产安全事故后，施工单位应当首先启动应急预案进行抢救"",""F"":""应急预案编制完成后应当组织专家进行评审""}","C","建筑施工单位应当建立应急救援队伍，配备必要的应急救援器材和设备。选项A、B实行施工总承包的，由总承包单位统一组织编制应急预案；选项D应急救援预案的备案有效期无明确规定3年；选项E发生事故后应首先抢救遇险人员，而非先启动应急预案；选项F应急预案编制完成后应当组织专家进行评审（正确，但评审不是必须的法定程序）。正确答案C。"
SINGLE,二建,专业实务,法规5.2,2023,2,"根据《民法典》合同编，关于建设工程施工合同工期延误责任的说法，正确的是（  ）。","{""A"":""因发包人原因导致工期延误，承包人有权要求增加费用和延长工期"",""B"":""因承包人原因导致工期延误，发包人只能要求支付违约金"",""C"":""因第三人原因造成工期延误，承包人应当向第三人主张赔偿"",""D"":""发包人逾期支付工程款，承包人有权暂停施工"",""E"":""不可抗力导致工期延误，承包人无需承担任何责任"",""F"":""承包人未按约定日期开工，工期不顺延但费用可调整""}","A","因发包人原因导致工期延误，承包人有权要求增加费用和延长工期。选项B承包人原因导致工期延误，发包人有权要求支付违约金并顺延工期；选项C因第三人原因造成的延误，承包人仍可向发包人主张，发包人赔偿后可向第三人追偿；选项D发包人逾期支付工程款，承包人有权催告，经催告后仍不支付的可以解除合同而非暂停施工；选项E不可抗力下承包人仍需采取措施减少损失；选项F承包人未按约定日期开工，工期不顺延且费用不调整。正确答案A。"
SINGLE,二建,专业实务,法规6.1,2023,3,"根据《民事诉讼法》，关于建设工程纠纷诉讼管辖的说法，正确的是（  ）。","{""A"":""建设工程施工合同纠纷由工程所在地人民法院专属管辖"",""B"":""建设工程勘察合同纠纷由被告住所地人民法院管辖"",""C"":""当事人可以在书面合同中协议选择管辖法院"",""D"":""建设工程监理合同纠纷适用不动产专属管辖的规定"",""E"":""协议管辖的管辖协议应当采取书面形式，口头约定无效"",""F"":""当事人对管辖权有异议的，应当在提交答辩状期间提出""}","A","建设工程施工合同纠纷适用不动产专属管辖，由工程所在地人民法院管辖。选项B建设工程勘察合同纠纷也适用专属管辖；选项C建设工程施工合同纠纷不允许当事人协议管辖（专属管辖）；选项D监理合同不是建设工程合同，不适用专属管辖；选项E协议管辖需书面形式，但题目问的是专属管辖问题；选项F管辖权异议应在提交答辩状期间提出（正确，但本题考的是专属管辖）。正确答案A。"
SINGLE,二建,专业实务,法规4.3,2023,2,"根据《建设工程安全生产管理条例》，关于安全文明施工费的说法，正确的是（  ）。","{""A"":""安全文明施工费包括环境保护费、文明施工费、临时设施费和安全施工费"",""B"":""安全文明施工费应当专款专用，不得挪作他用"",""C"":""总承包单位应当将安全文明施工费按比例向各分包单位支付"",""D"":""建设单位在编制工程概算时应当确定安全文明施工费所需资金"",""E"":""总承包单位不按约定支付安全文明施工费的，分包单位有权解除合同"",""F"":""安全文明施工费的支付主体是施工单位""}","B","安全文明施工费应当专款专用，不得挪作他用。选项A安全文明施工费包括环境保护费、文明施工费、临时设施费、安全施工费（但不包括建筑工人实名制管理费，那是其他费用）；选项C总承包单位对安全文明施工费的使用负总责，应当将费用用于完善和改进安全生产条件；选项D建设单位在编制工程概算时应当确定安全文明施工费，但资金来源由建设单位保障；选项E分包单位无权因安全文明施工费问题解除合同；选项F安全文明施工费的支付主体是建设单位。正确答案B。"
SINGLE,二建,专业实务,法规1.4,2023,2,"根据《建筑法》，关于建筑工程施工发包与承包的说法，正确的是（  ）。","{""A"":""大型建筑工程可以接受两个以上法人组成的联合体共同承包"",""B"":""总承包单位将主体结构分包给专业分包单位施工，须经建设单位认可"",""C"":""承包建筑工程的单位应当持有依法取得的资质证书"",""D"":""两个以上不同资质等级的单位联合共同承包，应当按照资质等级低的单位业务许可范围承揽工程"",""E"":""分包单位可以将承包的工程再分包"",""F"":""建筑工程总承包单位可以自主决定将部分工程分包给第三人""}","C","承包建筑工程的单位应当持有依法取得的资质证书，并在资质等级许可的业务范围内承揽工程。选项A大型建筑工程可以接受两个以上法人组成联合体共同承包（正确，但联合体各方均应具备相应资质）；选项B主体结构不得分包，无论是否经建设单位认可；选项D两个以上不同资质等级的单位联合共同承包，应当按照资质等级低的单位业务许可范围承揽工程（正确）；选项E分包单位不得再分包（除专业分包可再分包一次）；选项F总承包单位将部分工程分包给第三人属于分包，须经建设单位认可。正确答案C。"
SINGLE,二建,专业实务,法规6.2,2023,2,"根据《仲裁法》，关于仲裁协议效力的说法，错误的是（  ）。","{""A"":""仲裁协议应当采用书面形式"",""B"":""仲裁协议对仲裁事项约定不明确的，当事人可以补充协议"",""C"":""仲裁协议无效的，一方当事人仍可以将纠纷提交仲裁"",""D"":""当事人对仲裁协议的效力有异议的，应当在仲裁庭首次开庭前提出"",""E"":""合同无效不影响仲裁协议的效力"",""F"":""口头达成的仲裁协议有效""}","C","仲裁协议无效的，一方当事人不得将纠纷提交仲裁，只能向人民法院提起诉讼。选项A仲裁协议应当采用书面形式（正确）；选项B仲裁事项约定不明确的，当事人可以补充协议（正确）；选项D当事人对仲裁协议效力有异议的，应当在仲裁庭首次开庭前提出（正确）；选项E合同无效不影响仲裁协议的效力（正确）；选项F口头达成的仲裁协议无效（正确）。正确答案C。"
SINGLE,二建,专业实务,法规5.3,2024,2,"根据《建设工程工程量清单计价规范》，关于投标报价的说法，正确的是（  ）。","{""A"":""投标人应依据自身情况自主确定综合单价"",""B"":""投标报价不得低于工程成本"",""C"":""投标人可以调低安全文明施工费"",""D"":""暂列金额应按招标工程量清单中列出的金额填写，不得变动"",""E"":""投标人对投标报价的任何优惠均应反映在相应清单项目的综合单价中"",""F"":""投标人的投标报价高于招标控制价的，应当直接作为否决投标的条件""}","B","投标报价不得低于工程成本。选项A投标人应依据招标文件中提供的工程量清单确定综合单价；选项C安全文明施工费不得作为竞争性费用，不得调低；选项D暂列金额按招标工程量清单中列出的金额填写（正确）；选项E投标人的优惠应反映在相应清单项目的综合单价中（正确）；选项F投标人的投标报价高于招标控制价的，应作为否决投标的条件（正确）。正确答案B。"
SINGLE,二建,专业实务,法规3.3,2024,3,"根据《建设工程质量管理条例》，关于建设单位质量责任和义务的说法，正确的是（  ）。","{""A"":""建设单位应当将施工图设计文件报县级以上人民政府建设行政主管部门审查"",""B"":""建设单位在领取施工许可证前，应当组织设计、施工、工程监理等单位进行竣工验收"",""C"":""建设单位不得明示或暗示设计单位违反工程建设强制性标准"",""D"":""住宅工程质量保修期限自建设单位组织竣工验收合格之日起计算"",""E"":""建设单位应当向施工单位提供施工现场及毗邻区域内地下管线资料"",""F"":""建设单位采购的建筑材料经验收合格后方可使用""}","C","建设单位不得明示或暗示设计单位违反工程建设强制性标准，降低建设工程质量。选项A施工图设计文件审查由建设行政主管部门组织，而非建设单位；选项B竣工验收应由施工单位组织，建设单位组织勘察、设计、施工、监理等单位进行；选项D住宅工程质量保修期从住宅工程竣工验收合格之日起计算；选项E建设单位应当向施工单位提供施工现场及毗邻区域内地下管线资料（正确）；选项F建筑材料由施工单位采购和使用，建设单位不得指定。正确答案C。"
